,review
9892,0.61564356
18402,0.75255984
67773,0.5400269
68300,0.10184321
137301,0.9675632
10591,0.067262694
65294,0.52543795
82743,0.5202028
59740,0.22816072
91907,0.7700742
103845,0.9825733
106530,0.6128299
110898,0.59066415
144867,0.11344384
96360,0.7789988
149618,0.97929186
4803,0.5268104
145455,0.5552205
155161,0.7748246
113047,0.7659301
132612,0.219752
41387,0.35662246
92590,0.74137384
40227,0.5948289
116502,0.58190924
90400,0.34008285
59372,0.32966426
112371,0.9235803
95073,0.5654858
3219,0.88375807
148220,0.8916717
43096,0.8052469
77682,0.9251972
47586,0.66141665
62017,0.18564183
38942,0.7035045
82676,0.95558864
18437,0.8366235
13384,0.989543
23710,0.64915854
83681,0.6157969
155201,0.9533874
25501,0.81398857
115173,0.027189536
108059,0.29155496
46443,0.8726603
90548,0.80722886
112230,0.9790236
46982,0.02656904
51413,0.97214246
80741,0.07820244
82764,0.33007482
29553,0.97235787
132171,0.42426193
40360,0.71398354
56938,0.87569016
111685,0.49393338
18421,0.67824644
99494,0.64647716
93547,0.4408293
25472,0.9747273
131764,0.21421768
20128,0.95993036
64666,0.64825374
108163,0.8133718
83674,0.0024878345
35189,0.9713591
34494,0.99901384
111139,0.96902555
27337,0.7555863
27301,0.9938648
148713,0.92139286
111523,0.96975815
21862,0.9029194
105944,0.9934566
14228,0.3954685
31808,0.42227113
137942,0.71034664
132269,0.29666722
145422,0.9796509
150663,0.69280136
3228,0.2301242
7366,0.58311045
41914,0.7889662
86025,0.62553585
150781,0.11649546
126459,0.016915405
4241,0.58428407
98026,0.012159181
61472,0.6907723
132530,0.88864243
65215,0.7817623
139603,0.04759013
72923,0.99540544
44777,0.56604755
105950,0.48051062
153944,0.970548
52974,0.9922918
140704,0.9163579
112244,0.8492029
151434,0.7359477
35201,0.32027522
112559,0.97887146
144762,0.8175822
132277,0.9177826
159231,0.72892934
139589,0.7647489
17705,0.8781127
114846,0.90932566
123298,0.7185341
7873,0.9689808
74028,0.6304359
37793,0.17908184
30697,0.99676174
128004,0.9925082
37775,0.6775434
83709,0.8721644
135028,0.03588458
159909,0.7576825
9396,0.9918901
68211,0.14732024
42089,0.9733237
149322,0.24074341
76825,0.8288023
78725,0.53829724
149663,0.13286306
85419,0.18093975
129109,0.5792992
65628,0.89744353
5445,0.9957374
95641,0.121874325
35232,0.86458975
94758,0.9568506
143541,0.9595869
60518,0.6337705
78226,0.9989516
1854,0.5504324
101577,0.25336128
128675,0.2614759
132768,0.6019874
148970,0.9896425
41983,0.8270582
103514,0.26379713
136230,0.004654677
151179,0.9125031
93493,0.22237286
23827,0.7766337
47899,0.41156307
130971,0.8749958
49672,0.879486
67314,0.93847865
5373,0.06426985
28246,0.60101366
126604,0.8580725
121075,0.9817175
153627,0.12023665
78503,0.757792
46694,0.017596368
142789,0.9939164
142787,0.8527519
81822,0.63151443
23177,0.6489416
151205,0.15099902
97830,0.17343609
63647,0.12225933
139731,0.893607
70424,0.52224517
38341,0.617153
112426,0.31740987
81660,0.98557794
62458,0.9931221
48642,0.52335733
41471,0.93088716
93038,0.9674446
45856,0.86307883
144051,0.71274406
41501,0.60305715
75710,0.90883315
123008,0.67385453
5363,0.87084174
51276,0.7623742
2978,0.83804256
117671,0.97611374
156412,0.040438592
129763,0.75205994
14853,0.48141673
123014,0.99374753
72944,0.60817665
108895,0.019501073
35121,0.005775132
81121,0.6796263
51230,0.7628754
23583,0.5002743
149437,0.7242266
58880,0.53383756
62982,0.46676448
10617,0.8900119
8891,0.53982866
153459,0.8050582
41745,0.80162996
20621,0.119804464
108521,0.6884112
63719,0.66670686
23122,0.47059408
44421,0.9855373
128553,0.93394846
143393,0.91596866
41290,0.99731946
106138,0.85610956
89297,0.961501
35331,0.8316777
14159,0.81211865
20881,0.98208135
3554,0.91527337
75589,0.4899105
112475,0.99744505
25761,0.964237
23157,0.40806732
69093,0.9353959
125035,0.5331706
23526,0.0059787882
57588,0.98633605
93350,0.7307984
63698,0.99191093
132355,0.357784
109507,0.92770743
78590,0.8945365
120517,0.997367
30708,0.1957963
10211,0.9768039
36652,0.8266248
25199,0.9300368
58593,0.8450316
104105,0.20136754
106937,0.87657386
48246,0.6931332
118072,0.32468808
83532,0.53172535
36535,0.97804266
92594,0.5063419
36509,0.03991686
53950,0.26017958
101297,0.9067614
51629,0.9616774
131667,0.9543382
131356,0.009702675
159323,0.20428567
91424,0.18968256
152390,0.8646159
103708,0.98160285
50063,0.70645165
130049,0.972315
149954,0.9944189
78328,0.15959081
147647,0.68955445
131762,0.8852375
99236,0.12926617
100266,0.67135596
27284,0.7468389
160008,0.7923507
143737,0.44446456
24489,0.9924107
104440,0.93629986
142535,0.983189
75052,0.8770344
120036,0.968876
64018,0.70427096
53370,0.9483932
142645,0.119441025
95431,0.9875484
49876,0.3898933
137001,0.08387339
58165,0.855262
8567,0.9176188
31928,0.69015574
36189,0.952007
134739,0.90131223
64165,0.9553768
25050,0.928029
153604,0.6017778
129273,0.11908034
131513,0.4747738
110378,0.89164454
116822,0.77836734
67157,0.6218234
97231,0.4647185
134814,0.9840251
149934,0.93202674
24919,0.89026654
127538,0.9905537
36065,0.61561155
2497,0.5088589
2491,0.7926904
153439,0.6929898
17405,0.89199036
49906,0.8344984
154761,0.95491683
49998,0.9774496
102671,0.41128284
124286,0.91574633
157749,0.73743796
157055,0.126931
24713,0.3229748
8989,0.8340296
58320,0.9216843
80325,0.718601
31202,0.91697925
24729,0.8598527
36290,0.93874156
19896,0.12587321
115228,0.1529176
93740,0.63046825
134711,0.59530675
36251,0.6498816
1582,0.976256
146391,0.9945596
18611,0.9335973
85672,0.0907431
150613,0.9673827
92647,0.8664809
19585,0.9868789
58739,0.7517638
110188,0.39764693
58731,0.97222584
32985,0.6665479
160961,0.9823365
146262,0.47126254
108484,0.9967996
110748,0.54976857
6062,0.78231937
97508,0.2614048
37480,0.9071819
102504,0.006725658
119296,0.57110363
101654,0.98643357
12636,0.053617448
139333,0.024828143
110691,0.99497217
144408,0.99134433
13821,0.26212713
126012,0.6670179
57941,0.04634825
103754,0.67177045
30749,0.5064365
42129,0.97099274
160836,0.64129394
96778,0.26863575
96437,0.6098623
31836,0.619576
23918,0.7423438
123489,0.84014183
88938,0.051229168
154422,0.5323273
15778,0.9443914
44230,0.007926137
60248,0.8684447
47916,0.32736257
110179,0.4364194
77571,0.5552429
97159,0.25117084
47368,0.9398753
158812,0.9878234
7768,0.68737805
87094,0.9404283
70822,0.29089722
44108,0.9082724
139309,0.9879513
48357,0.4160391
1708,0.9256861
123848,0.95972663
110248,0.9896238
15151,0.22080499
139144,0.93376595
77165,0.96710145
75162,0.035958637
96711,0.9628893
113560,0.9538241
160030,0.9953847
43949,0.91252023
106580,0.9661758
106583,0.52451146
53276,0.9374639
46353,0.98955977
128964,0.42419007
139071,0.05458419
120126,0.94745296
104189,0.8600814
92346,0.020634653
90105,0.91380715
76852,0.5897559
10391,0.8467551
84841,0.338019
47388,0.985555
155171,0.8737868
137685,0.9976366
87952,0.93349004
110636,0.976385
88923,0.97782224
106473,0.21721359
127432,0.57521653
120299,0.25300407
54252,0.1884609
35582,0.90477425
25405,0.35477975
93295,0.45089683
129332,0.781689
114511,0.35273668
12819,0.8351744
90623,0.9957516
12840,0.9829563
74369,0.6525495
27520,0.97234046
26530,0.9945173
39140,0.97940314
96941,0.9925511
26343,0.6550846
39703,0.28473106
72250,0.9872507
34573,0.94010025
71576,0.9459111
86997,0.81679255
122406,0.98984194
105718,0.9833159
108602,0.91115105
152288,0.988611
152605,0.4479659
11415,0.8170372
105649,0.07710981
55654,0.8450374
97003,0.96516204
125458,0.6710767
146053,0.28655925
76521,0.9973668
132963,0.5649449
50475,0.95133567
77294,0.024193157
125543,0.6813217
111304,0.98495096
76501,0.753236
144171,0.8650571
86806,0.557732
147122,0.6947786
21280,0.9605726
88188,0.17779733
